trial_type,us,iti_duration,cs_duration,cs_img,trial,half,task,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,extinction_trials.thisRepN,extinction_trials.thisTrialN,extinction_trials.thisN,extinction_trials.thisIndex,post_form_c_trials.thisRepN,post_form_c_trials.thisTrialN,post_form_c_trials.thisN,post_form_c_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,fixation_image_post.started,form_3a.started,form_3a_next_button.started,form_3a.index,form_3a.itemText,form_3a.type,form_3a.font,form_3a.markerColor,form_3a.response,form_3a.rt,form_3a_next_button.numClicks,form_3a_next_button.timesOn,form_3a_next_button.timesOff,form_3b.started,form_3b_next_button.started,form_3b.index,form_3b.itemText,form_3b.type,form_3b.font,form_3b.markerColor,form_3b.response,form_3b.rt,form_3b_next_button.numClicks,form_3b_next_button.timesOn,form_3b_next_button.timesOff,form_3c.started,form_3c_next_button.started,form_3c.index,form_3c.itemText,form_3c.type,form_3c.font,form_3c.markerColor,form_3c.response,form_3c.rt,form_3c_next_button.numClicks,form_3c_next_button.timesOn,form_3c_next_button.timesOff,form_3d.started,form_3d_next_button.started,form_3d.index,form_3d.itemText,form_3d.type,form_3d.font,form_3d.markerColor,form_3d.response,form_3d.rt,form_3d_next_button.numClicks,form_3d_next_button.timesOn,form_3d_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_slider.started,rating_next_button.started,rating_slider.response,rating_slider.rt,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
CS+,0,13.5,8,stimuli/rotated.png,31,2,extinction,,,,,,,,,0,30,30,30,,,,,,,,,,597.5160825000494,606.8963223999599,611.0079325000406,13.491850899998099,611.0079414000502,619.006477100018,7.998520599969197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,14,8,stimuli/rotated.png,32,2,extinction,,,,,,,,,0,31,31,31,,,,,,,,,,619.0067799000535,628.387052599981,633.0163092000294,14.009530399984214,633.0163186000427,641.0148568000295,7.99852289998671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,11,8,stimuli/aligned.png,33,2,extinction,,,,,,,,,0,32,32,32,,,,,,,,,,641.0151383000193,650.3954285999644,652.00229090004,10.987153599970043,652.0022999000503,660.0175213000039,8.015206600015517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,15,8,stimuli/aligned.png,34,2,extinction,,,,,,,,,0,33,33,33,,,,,,,,,,660.0178566999966,669.3981098000077,675.0125653000432,14.994709299993701,675.0125745999976,683.0277978000231,8.015207699965686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,11.5,8,stimuli/rotated.png,35,2,extinction,,,,,,,,,0,34,34,34,,,,,,,,,,683.0281268000253,692.4083872999763,694.5161759000039,11.48804960004054,694.516185000015,702.5147408000194,7.998541500011925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,12.5,8,stimuli/aligned.png,36,2,extinction,,,,,,,,,0,35,35,35,,,,,,,,,,702.5150500000454,711.8953145999694,715.005021500052,12.489972200011835,715.0050304000033,723.0035593000357,7.99851339997258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,10.5,8,stimuli/rotated.png,37,2,extinction,,,,,,,,,0,36,36,36,,,,,,,,,,723.0038595000515,732.3841390999733,733.5067555000423,10.502896999998484,733.5067647000542,741.5052949000383,7.998515399987809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,14.5,8,stimuli/rotated.png,38,2,extinction,,,,,,,,,0,37,37,37,,,,,,,,,,741.5056007000385,750.8858731999644,756.0160800000303,14.510479699994903,756.0160892000422,764.01462490001,7.9985217999783345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,13,8,stimuli/aligned.png,39,2,extinction,,,,,,,,,0,38,38,38,,,,,,,,,,764.0149431000464,773.3951944999862,777.0058633000008,12.990921500022523,777.005873200018,785.0043966000085,7.998521899979096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,14,8,stimuli/rotated.png,40,2,extinction,,,,,,,,,0,39,39,39,,,,,,,,,,785.0047246000031,794.3849774000118,799.0142345000058,14.009510800009593,799.0142445000238,807.0127789000398,7.99853169999551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
